created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,,,,,,,,,,,,
02-12-2021,16,32,1,1,,,Jakarta Pusat,SHM,2200,,380000000,https://www.rumah.com/listing-properti/dijual-rumah-murah-pangkalan-asem-jakarta-pusat-rumah-baru-murah-jakarta-pusat-oleh-irwan-18210721,"Sangat cocok untuk huni dan investasi. Lokasi dikelilingi kampus, RS, dan area komersil.",,,,,,,,,,,,
07-12-2021,700,2000,10,10,,10,Jakarta Pusat,SHM,66000,Utara,1.05E+11,https://www.rumah.com/listing-properti/dijual-dijual-murah-harga-covid-rumah-bisnis-district-2-menit-dari-grand-indonesia-thamrin-jakarta-pusat-oleh-firman-bgeac-19277814,"- 2 menit ke Grand Indonesia (500 meter)
- 5 menit ke Plaza Indonesia (1 Km)
- 70 meter ke Jl. Sudirman - Thamrin
- 50 meter ke stasiun MRT/KRL BNI
- 100 meter ke MRT Dukuh Atas
- 200 meter ke stasiun BNI Sudirman (KA Bandara)",,,,,,,,,,,,
07-12-2021,18,33,2,1,,,Jakarta Pusat,SHM,2200,,425000000,https://www.rumah.com/listing-properti/dijual-kali-baru-oleh-heru-herdianzah-18869603,"Kualitas bangunan & material terbaik, one gate system, lokasi anti banjir, akses mudah dengan Tol, RS, Stasiun kereta api",,,,,,,,,,,,
07-12-2021,1000,450,6,3,,6,Jakarta Selatan,SHM,23000,,15000000000,https://rumahdijual.com/kemang/11748809-rumah-kemang-utara-luas-tanah-1000-meter-harga-15-a.html,"Halaman luas, ada kolam renang, lokasi bebas banjir, sumber air jet pam",,,,,,,,,,,,
06-12-2021,189,250,7,4,3,,Jakarta Selatan,SHM + IMB,7700,,9500000000,https://rumahdijual.com/tebet/11349615-rumah-2-lantai-dan-strategis-akses-4-mobil-di.html,"- Daerah bebas banjir
- Dekat dengan Kuningan, Sudirman, Manggarai, Cawang, Mampang Prapatan, Gatot Subroto, Otista, Jatinegara, dan Kampung melayu, Stasiun Cawang dan Stasiun Tebet, Pasar Tebet BUMD dan Halte Busway, Taman Tebet untuk Jogging, Olahraga, dan Rekreasi",,,,,,,,,,,,
06-12-2021,390,200,7,2,,1,Jakarta Selatan,SHM,1300,,3500000000,https://rumahdijual.com/tebet/11220328-dijual-cepat-rumah-bagus-bangunan-lama-di-tebet-bisa.html,Bangunan lama,,,,,,,,,,,,
07-12-2021,124,330,5,3,1,,Jakarta Selatan,SHM,6600,,6500000000,https://rumahdijual.com/kemang/2729469-bangka-townhouse-cluster-eksklusif-di-jl-bangka-kemang.html,"- Bebas banjir
- Lokasi strategis dekat dengan SCBD, Kuningan, Kemang, Tendean, Gatot Subroto, dan Blok M",,,,,,,,,,,,
07-12-2021,225,425,5,4,1,2,Jakarta Selatan,SHM,3300,Utara,9500000000,https://rumahdijual.com/kemang/8912284-kemang-utara-bangka-mampang-prapatan.html,"- Full furnished 
- Dengak dengan Mcdonald Kemang, Kemang Square, Mampang Square, Kemang Village, Pasar Warung Buncit
- AC 8
- Lokasi bebas banjir",,,,,,,,,,,,
06-12-2021,290,460,7,5,2,2,Jakarta Selatan,SHM + IMB,3500,Barat,8250000000,https://rumahdijual.com/tebet/1914317-dijual-rumah-hitung-tanah-menteng-cikini-lokasi-kawasan-bisnis.html,"Taman, gudang , air jetpump, toren air, pagar penuh, unfurnished",,,,,,,,,,,,
07-11-2021,432,400,3,2,2,2,Jakarta Selatan,SHM,2200,,10500000000,https://rumahdijual.com/tebet/7361051-dijual-rumah-hitung-tanah-komplek-gudang-peluru-lokasi-premium.html,"Bangunan lama butuh renovasi, unfurnished, ada gudang, air PDAM, pagar penuh, dan kawasan bebas banjir",,,,,,,,,,,,
